CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Smith_0,452,Spain,Male,36,0,8087.296661719767,2,1,0,74308.55311246414,1
15634603,Smith_1,785,Spain,Female,43,4,42831.447494010776,3,0,0,127892.79810261934,0
15634604,Smith_2,698,Germany,Female,20,2,68849.99007653663,1,0,0,117648.48378415564,1
15634605,Smith_3,620,Germany,Male,36,3,5819.3595508443605,1,1,1,19273.03689926122,0
15634606,Smith_4,456,Spain,Female,37,2,91521.37276264804,3,0,0,16420.57729664861,1
15634607,Smith_5,421,Germany,Female,49,0,44235.222973110445,1,1,1,96912.79581909277,0
15634608,Smith_6,538,France,Female,24,0,23978.735915740323,3,0,1,58637.877151557994,0
15634609,Smith_7,370,Spain,Female,69,4,9387.329008129174,1,0,0,39278.31075099199,1
15634610,Smith_8,452,France,Male,58,5,18286.599710730734,1,0,0,91150.99082604337,0
15634611,Smith_9,471,France,Female,50,2,93461.39973397097,3,1,0,57818.849463916304,0
15634612,Smith_10,816,Spain,Male,57,8,63827.059384335036,1,0,0,85216.87833996981,0
15634613,Smith_11,564,Germany,Female,56,4,51669.625742656666,3,0,1,74416.68225770009,1
15634614,Smith_12,680,France,Female,35,7,65711.13285001669,1,0,0,91867.25483288152,0
15634615,Smith_13,808,Spain,Female,57,0,43567.289867789106,1,0,0,66042.0684474394,1
15634616,Smith_14,437,France,Female,18,4,73003.93165618186,2,1,0,107673.46031757045,0
15634617,Smith_15,722,France,Male,28,2,4771.612769164879,2,1,0,35209.418128901794,0
15634618,Smith_16,449,France,Male,45,0,56603.72104940763,3,0,0,107510.20527179106,0
15634619,Smith_17,709,France,Female,42,3,15864.644764249102,2,1,0,67632.57001005394,0
15634620,Smith_18,501,Germany,Female,67,4,12016.464780564218,3,0,1,132404.4646796184,0
15634621,Smith_19,480,France,Male,40,6,34187.966671640155,2,0,1,82133.04768098952,0
15634622,Smith_20,499,France,Female,48,0,9179.906581344188,1,0,0,146235.4488978146,0
15634623,Smith_21,658,France,Female,47,2,9415.69882685601,3,1,0,94270.95537573443,0
15634624,Smith_22,607,Germany,Female,59,1,31141.33093912942,3,1,0,41338.86922688488,1
15634625,Smith_23,693,France,Male,52,8,97951.05286215086,1,1,1,125050.68915822289,0
15634626,Smith_24,841,France,Male,24,9,17533.026988933852,3,1,0,58311.56789513415,0
15634627,Smith_25,763,Germany,Male,33,5,1716.1101831750236,3,1,1,58666.69002757569,0
15634628,Smith_26,643,Germany,Female,43,9,76336.44230039109,2,1,0,14452.655407923117,0
15634629,Smith_27,735,Germany,Female,65,2,80691.29770507794,3,1,0,86820.14328903721,0
15634630,Smith_28,541,France,Male,69,7,34630.43210894008,1,1,0,84819.29052255322,0
15634631,Smith_29,793,Germany,Male,66,7,46467.38129396114,2,1,0,59838.80779807806,0
15634632,Smith_30,626,Germany,Male,19,1,64977.36826427634,2,0,1,135190.41680542962,0
15634633,Smith_31,510,France,Male,18,5,4805.892419703373,1,1,1,28024.775761950146,0
15634634,Smith_32,809,Germany,Female,65,6,94914.5731591386,1,1,0,56213.931863421756,0
15634635,Smith_33,663,France,Male,29,1,88668.03872980476,2,1,0,55021.58705520406,0
15634636,Smith_34,371,Spain,Female,22,9,26089.362334171394,3,1,1,22920.68207202445,0
15634637,Smith_35,602,Germany,Male,54,1,1530.454029038475,2,1,1,77360.35516788105,0
15634638,Smith_36,585,Spain,Female,49,9,93343.6308079483,1,1,1,106289.86039345163,0
15634639,Smith_37,694,France,Male,26,0,50103.98839152592,2,1,1,81631.98189661658,0
15634640,Smith_38,398,Germany,Male,58,7,53937.74484000625,1,1,0,31976.875580267122,0
15634641,Smith_39,824,France,Male,52,0,68396.3769398141,2,1,1,62820.03513389016,1
15634642,Smith_40,408,Spain,Male,36,8,61585.11643899138,3,1,0,10363.303413710519,0
15634643,Smith_41,519,France,Female,65,5,94389.16045607571,2,1,1,131562.15498498216,0
15634644,Smith_42,825,Germany,Male,33,6,94425.15971251673,2,0,1,21832.38107529547,1
15634645,Smith_43,537,Germany,Female,20,9,86719.89335550038,1,0,1,93618.93151576028,1
